"drugFix1" "drugFix2" "drugFix3" "drugFix4" "drugFix5" "drugFix6" "drugFix7" "alcConsq1" "alcConsq2" "alcConsq3" "alcConsq4" "alcConsq5" "alcConsq6" "alcConsq7" "alcFix1" "alcFix2" "alcFix3" "alcFix4" "alcFix5" "alcFix6" "alcFix7" "alcFix8" "alcFix9" "alcFix10" "aidFix1" "aidFix2" "aidFix3" "aidFix4" "aidFix5"
"1" 1 3 5 4 6 2 7 4 2 1 3 7 6 5 1 NA NA NA 2 NA NA 4 3 5 1 4 5 2 3
"2" 2 3 1 4 5 6 7 7 3 1 4 6 2 5 3 1 4 NA 5 NA NA 2 NA NA 4 1 5 2 3
"3" 1 4 5 2 6 3 7 5 3 1 6 7 2 4 4 5 NA NA 1 NA NA 2 NA 3 2 4 5 1 3
"4" 5 1 6 2 7 3 4 1 2 3 6 7 4 5 NA 1 NA NA 2 3 NA NA 4 5 3 4 5 2 1
"5" 5 1 6 2 7 3 4 1 3 4 5 6 7 2 1 NA 4 NA 5 NA NA 3 NA 2 1 5 4 2 3
"6" 4 1 2 3 7 5 6 2 1 4 5 6 3 7 1 NA 4 NA 3 NA NA 2 NA 5 5 1 2 3 4
"7" 7 1 6 2 3 5 4 1 2 4 3 5 6 7 NA NA NA NA 5 4 NA 1 2 3 3 5 4 2 1
"8" 7 1 2 6 5 3 4 3 4 1 5 6 2 7 4 1 NA NA 2 3 NA 5 NA NA 3 5 4 1 2
"9" 6 1 7 4 3 2 5 4 3 2 5 7 6 1 NA NA NA NA 1 5 NA 2 3 4 3 4 5 2 1
"10" 7 3 1 6 4 5 2 5 2 1 6 7 3 4 3 5 1 NA 4 2 NA NA NA NA 1 2 3 4 5
"11" 1 4 7 5 6 3 2 1 4 3 5 7 6 2 1 NA 5 NA NA NA NA 2 3 4 1 4 5 2 3
"12" 1 2 7 5 3 4 6 2 1 3 4 7 5 6 NA 1 2 NA 3 NA NA 5 NA 4 1 4 5 2 3
"13" 5 2 7 3 4 1 6 1 3 5 4 6 7 2 NA 1 NA NA 3 NA NA 4 5 2 3 4 5 1 2
"14" 3 2 6 7 1 5 4 1 2 3 6 7 5 4 5 NA NA NA NA 1 NA 4 3 2 3 4 5 1 2
"15" 4 1 7 3 6 2 5 1 4 2 3 7 5 6 2 NA 3 NA 1 NA 5 4 NA NA 1 NA NA 2 3
"16" 2 3 6 7 4 1 5 5 2 3 6 7 4 1 1 NA 2 NA 5 4 NA NA 3 NA 4 3 2 5 1
"17" 2 1 4 7 5 6 3 1 7 2 3 6 5 4 3 5 NA NA 1 NA NA 4 NA 2 2 5 4 1 3
"18" 7 2 3 1 6 5 4 1 2 3 7 5 6 4 2 1 NA NA 5 NA 4 NA 3 NA 2 4 5 3 1
"19" 6 1 7 2 3 4 5 5 7 6 1 2 3 4 NA 5 4 NA 1 2 NA NA 3 NA 4 3 5 1 2
"20" 4 2 7 1 3 5 6 3 2 4 7 1 6 5 NA NA 4 NA 3 NA NA 1 5 2 2 1 5 4 3
"21" 2 1 7 3 6 4 5 1 2 4 5 3 7 6 NA 5 NA NA NA 4 NA 1 2 3 3 4 5 1 2
"22" 5 2 1 3 7 6 4 1 3 2 7 5 4 6 NA 3 2 NA 1 5 NA NA NA 4 3 4 NA 2 1
"23" 1 6 2 7 4 3 5 2 1 4 3 7 5 6 1 NA NA NA 4 2 NA 3 5 NA 1 NA NA 2 3
"24" 4 1 2 3 5 6 7 1 4 2 5 3 6 7 4 1 3 NA 2 NA NA 5 NA NA 3 4 5 1 2
